CELL_ID,GRID_ID,,,RSRP,,
22372043,11651980|3976600,11651980,3976600,-89.64,116.5198,39.766
227362763,11649320|3983300,11649320,3983300,-86.74,116.4932,39.833
22229706,11688920|4005820,11688920,4005820,-84.62,116.8892,40.0582
25262282,11668600|4036880,11668600,4036880,-97.4,116.686,40.3688
25215945,11683880|3974520,11683880,3974520,-87.42,116.8388,39.7452
22054602,11654760|3984420,11654760,3984420,-86.01,116.5476,39.8442
20550923,11655820|3989400,11655820,3989400,-87.76,116.5582,39.894
24455881,11632020|3958200,11632020,3958200,-89.68,116.3202,39.582
126813061,11635840|4009840,11635840,4009840,-84.48,116.3584,40.0984
20781581,11661940|3985840,11661940,3985840,-101.9,116.6194,39.8584
4282114,11703580|4014380,11703580,4014380,-88.76,117.0358,40.1438
20862978,11657880|4025700,11657880,4025700,-102.92,116.5788,40.257
23909578,11683980|4013480,11683980,4013480,-94.32,116.8398,40.1348
23231434,11672160|3983300,11672160,3983300,-87.5,116.7216,39.833
23091915,11718040|4016420,11718040,4016420,-91.97,117.1804,40.1642
226785225,11643140|3999920,11643140,3999920,-85.97,116.4314,39.9992
11229573,11700540|4006260,11700540,4006260,-98,117.0054,40.0626
129088643,11684440|4011620,11684440,4011620,-97.3,116.8444,40.1162
20463617,11717480|4014440,11717480,4014440,-90.48,117.1748,40.1444
20781315,11656700|3984380,11656700,3984380,-102.56,116.567,39.8438
20463361,11699940|4013860,11699940,4013860,-86.46,116.9994,40.1386
18948097,11654280|3989260,11654280,3989260,-101.08,116.5428,39.8926
20507649,11678660|3972140,11678660,3972140,-91.77,116.7866,39.7214
22294731,11711200|4016500,11711200,4016500,-84,117.112,40.165
22415562,11702060|4014220,11702060,4014220,-78.8,117.0206,40.1422
127137924,11659140|3975720,11659140,3975720,-100.9,116.5914,39.7572
20845313,11678600|4017820,11678600,4017820,-104.36,116.786,40.1782
127002259,11655880|3995980,11655880,3995980,-95.47,116.5588,39.9598
20942101,11648940|4020060,11648940,4020060,-95.95,116.4894,40.2006
4422914,11648380|3955860,11648380,3955860,-92.61,116.4838,39.5586
129046148,11649360|3989240,11649360,3989240,-85.39,116.4936,39.8924
126986628,11649120|3992200,11649120,3992200,-87,116.4912,39.922
23894985,11688640|4015640,11688640,4015640,-97.13,116.8864,40.1564
20532226,11683120|3973940,11683120,3973940,-98.62,116.8312,39.7394
227415243,11649740|3998320,11649740,3998320,-83.52,116.4974,39.9832
22263753,11663360|4033100,11663360,4033100,-84.5,116.6336,40.331
20948745,11649420|3987060,11649420,3987060,-79.96,116.4942,39.8706
18481153,11626520|3980240,11626520,3980240,-87.96,116.2652,39.8024
127446147,11624400|3994620,11624400,3994620,-89.77,116.244,39.9462
24460747,11631580|3960500,11631580,3960500,-97.05,116.3158,39.605
127465104,11635960|4008600,11635960,4008600,-91.61,116.3596,40.086
18446593,11624040|3984940,11624040,3984940,-87.07,116.2404,39.8494
23028179,11669660|4012880,11669660,4012880,-102.81,116.6966,40.1288
22834634,11657100|4027020,11657100,4027020,-93.3,116.571,40.2702
127465104,11635880|4008600,11635880,4008600,-90.14,116.3588,40.086
24027339,11702000|4008380,11702000,4008380,-89.17,117.02,40.0838
18802187,11710820|4012940,11710820,4012940,-101.56,117.1082,40.1294
19372803,11663420|4007220,11663420,4007220,-86.53,116.6342,40.0722
18878722,11648400|3989520,11648400,3989520,-84.43,116.484,39.8952
18957837,11712660|4015240,11712660,4015240,-72.4,117.1266,40.1524
20629763,11676740|3971880,11676740,3971880,-80.9,116.7674,39.7188
20550923,11655600|3989420,11655600,3989420,-85.98,116.556,39.8942
25204939,11678940|3972480,11678940,3972480,-102.45,116.7894,39.7248
5049091,11669680|3967640,11669680,3967640,-84.92,116.6968,39.6764
227306699,11663960|4017920,11663960,4017920,-86.26,116.6396,40.1792
23818448,11639520|3998780,11639520,3998780,-94.5,116.3952,39.9878
23095499,11717920|4014020,11717920,4014020,-95.72,117.1792,40.1402
20532482,11682820|3973760,11682820,3973760,-93.54,116.8282,39.7376
19219207,11648860|3998020,11648860,3998020,-91.2,116.4886,39.9802
20531459,11686660|3973680,11686660,3973680,-86.27,116.8666,39.7368
20592898,11678860|3972200,11678860,3972200,-101.36,116.7886,39.722
25220809,11677220|4006320,11677220,4006320,-97.9,116.7722,40.0632
18804995,11642060|3978000,11642060,3978000,-78.76,116.4206,39.78
129182853,11663820|3963020,11663820,3963020,-78.67,116.6382,39.6302
18944258,11646040|3985940,11646040,3985940,-81.21,116.4604,39.8594
22273021,11663880|4029680,11663880,4029680,-87.57,116.6388,40.2968
23110346,11700880|4007040,11700880,4007040,-79.83,117.0088,40.0704
22907343,11647780|4000860,11647780,4000860,-87.89,116.4778,40.0086
20743683,11684500|4011640,11684500,4011640,-96,116.845,40.1164
20753154,11656540|3989240,11656540,3989240,-88.4,116.5654,39.8924
25223882,11678140|4027460,11678140,4027460,-104.14,116.7814,40.2746
11205527,11691380|4008400,11691380,4008400,-102.88,116.9138,40.084
20309762,11629000|3982640,11629000,3982640,-82.77,116.29,39.8264
20448273,11644960|3987020,11644960,3987020,-89.86,116.4496,39.8702
20739843,11653380|4000060,11653380,4000060,-95.82,116.5338,40.0006
23062474,11634220|3980560,11634220,3980560,-88.72,116.3422,39.8056
10657668,11712140|4013980,11712140,4013980,-106.51,117.1214,40.1398
23146441,11650200|3975760,11650200,3975760,-69.25,116.502,39.7576
20862978,11657880|4024940,11657880,4024940,-97.85,116.5788,40.2494
25185995,11663340|3990020,11663340,3990020,-96.17,116.6334,39.9002
18870284,11639560|3982960,11639560,3982960,-79.77,116.3956,39.8296
19070465,11671760|3968980,11671760,3968980,-91.64,116.7176,39.6898
23896522,11679740|4006400,11679740,4006400,-92.79,116.7974,40.064
19423757,11663240|4024800,11663240,4024800,-89.69,116.6324,40.248
22294475,11701100|4007120,11701100,4007120,-75.11,117.011,40.0712
127115396,11695240|4056320,11695240,4056320,-102.08,116.9524,40.5632
22870219,11658720|3983700,11658720,3983700,-96.59,116.5872,39.837
23215051,11671780|3968980,11671780,3968980,-88.58,116.7178,39.6898
18500354,11636480|3981120,11636480,3981120,-91.8,116.3648,39.8112
20821249,11660060|3984420,11660060,3984420,-105,116.6006,39.8442
129026436,11647240|4001040,11647240,4001040,-79.43,116.4724,40.0104
23091915,11718120|4016420,11718120,4016420,-94.32,117.1812,40.1642
19187209,11661760|4030440,11661760,4030440,-93.38,116.6176,40.3044
22049496,11645560|4003920,11645560,4003920,-92.15,116.4556,40.0392
4282115,11703320|4014420,11703320,4014420,-86.38,117.0332,40.1442
5049091,11669400|3966960,11669400,3966960,-86.38,116.694,39.6696
25204939,11680260|3972560,11680260,3972560,-91.55,116.8026,39.7256
22239690,11681020|4017920,11681020,4017920,-97.45,116.8102,40.1792
20575233,11716900|4012620,11716900,4012620,-90.19,117.169,40.1262
23231689,11690380|3978580,11690380,3978580,-96.81,116.9038,39.7858
20532482,11682540|3973600,11682540,3973600,-94.72,116.8254,39.736
227362762,11649320|3983300,11649320,3983300,-85.99,116.4932,39.833
23012555,11674480|4033280,11674480,4033280,-89.21,116.7448,40.3328
23890121,11670860|4005740,11670860,4005740,-97.3,116.7086,40.0574
227344841,11650740|3998240,11650740,3998240,-87.7,116.5074,39.9824
18789151,11667140|3989420,11667140,3989420,-95.99,116.6714,39.8942
23033033,11650380|4020880,11650380,4020880,-85.57,116.5038,40.2088
126813061,11636200|4010060,11636200,4010060,-86.65,116.362,40.1006
18429185,11612960|3973020,11612960,3973020,-89.55,116.1296,39.7302
22306251,11660400|4003000,11660400,4003000,-86.73,116.604,40.03
22265547,11664860|4036180,11664860,4036180,-85.13,116.6486,40.3618
18472962,11634280|3980640,11634280,3980640,-98.36,116.3428,39.8064
127387780,11625860|3981340,11625860,3981340,-94.25,116.2586,39.8134
25204939,11679900|3972440,11679900,3972440,-92.92,116.799,39.7244
20799490,11679000|4020080,11679000,4020080,-94.55,116.79,40.2008
20463361,11699920|4013900,11699920,4013900,-81.93,116.9992,40.139
129091204,11678320|4006820,11678320,4006820,-87.16,116.7832,40.0682
19383555,11655360|4033640,11655360,4033640,-78.25,116.5536,40.3364
18626561,11634300|3993100,11634300,3993100,-88.3,116.343,39.931
227374283,11639080|4000120,11639080,4000120,-81.27,116.3908,40.0012
126929541,11644240|3998340,11644240,3998340,-77.62,116.4424,39.9834
24455881,11632020|3958220,11632020,3958220,-84.62,116.3202,39.5822
127012228,11645560|4001700,11645560,4001700,-102,116.4556,40.017
18446593,11624120|3984940,11624120,3984940,-99.29,116.2412,39.8494
226790091,11643900|3998580,11643900,3998580,-77.59,116.439,39.9858
23034307,11664120|4010700,11664120,4010700,-90.41,116.6412,40.107
18132482,11621940|4020740,11621940,4020740,-78.2,116.2194,40.2074
11141253,11660440|4012000,11660440,4012000,-104.02,116.6044,40.12
20166668,11639340|4007840,11639340,4007840,-89,116.3934,40.0784
126878340,11676940|4008120,11676940,4008120,-93.93,116.7694,40.0812
226813385,11663720|4012900,11663720,4012900,-88.78,116.6372,40.129
19286019,11646080|3993580,11646080,3993580,-100.43,116.4608,39.9358
22306251,11660460|4002900,11660460,4002900,-92.94,116.6046,40.029
24505289,11704780|4027140,11704780,4027140,-83.36,117.0478,40.2714
22330876,11641980|3979900,11641980,3979900,-100.98,116.4198,39.799
24526539,11704380|4014500,11704380,4014500,-89.85,117.0438,40.145
22286025,11710920|4010820,11710920,4010820,-91.88,117.1092,40.1082
19105033,11641680|3993700,11641680,3993700,-95.93,116.4168,39.937
129824137,11638100|3988840,11638100,3988840,-86.14,116.381,39.8884
11143060,11657800|4008480,11657800,4008480,-94.38,116.578,40.0848
25620938,11650080|3999420,11650080,3999420,-96.2,116.5008,39.9942
22815690,11662600|4026680,11662600,4026680,-99.29,116.626,40.2668
20881153,11656780|4026440,11656780,4026440,-90.98,116.5678,40.2644
227209162,11666060|3991780,11666060,3991780,-87.36,116.6606,39.9178
25223115,11668020|4013620,11668020,4013620,-96.83,116.6802,40.1362
127179652,11705560|4006920,11705560,4006920,-96.15,117.0556,40.0692
25183689,11672780|3978840,11672780,3978840,-90.22,116.7278,39.7884
18362373,11636840|3988600,11636840,3988600,-84.13,116.3684,39.886
20467002,11720640|4015740,11720640,4015740,-97.39,117.2064,40.1574
22815690,11662420|4026780,11662420,4026780,-105.63,116.6242,40.2678
25611722,11656460|4003440,11656460,4003440,-90.55,116.5646,40.0344
227371977,11650120|3994580,11650120,3994580,-96.72,116.5012,39.9458
22273021,11663700|4029920,11663700,4029920,-101.14,116.637,40.2992
20745219,11657360|4023800,11657360,4023800,-98.79,116.5736,40.238
18969653,11640300|3987980,11640300,3987980,-103.41,116.403,39.8798
22815740,11662840|4027280,11662840,4027280,-85.64,116.6284,40.2728
129030538,11637660|3997760,11637660,3997760,-104.17,116.3766,39.9776
23146436,11650020|3976200,11650020,3976200,-102.75,116.5002,39.762
23885259,11657540|4020980,11657540,4020980,-94.95,116.5754,40.2098
22432202,11642360|3983600,11642360,3983600,-102.2,116.4236,39.836
20533044,11669980|3980760,11669980,3980760,-98.36,116.6998,39.8076
11049091,11651760|3976080,11651760,3976080,-86.12,116.5176,39.7608
24511689,11717100|4012220,11717100,4012220,-80.58,117.171,40.1222
20536835,11681420|3968900,11681420,3968900,-94.82,116.8142,39.689
22815690,11662680|4026780,11662680,4026780,-100.43,116.6268,40.2678
20867587,11665740|4001740,11665740,4001740,-103.78,116.6574,40.0174
18428929,11613560|3973160,11613560,3973160,-82.23,116.1356,39.7316
126887812,11670660|4016960,11670660,4016960,-92.61,116.7066,40.1696
19034370,11717040|4012520,11717040,4012520,-88.06,117.1704,40.1252
22432203,11642360|3983420,11642360,3983420,-75.99,116.4236,39.8342
22816714,11669340|4041980,11669340,4041980,-97.9,116.6934,40.4198
127136388,11684380|3972720,11684380,3972720,-93.36,116.8438,39.7272
23818448,11639460|3998740,11639460,3998740,-89.57,116.3946,39.9874
20627970,11672980|3983980,11672980,3983980,-92.38,116.7298,39.8398
127049860,11644420|3991980,11644420,3991980,-92.21,116.4442,39.9198
20862978,11657980|4024920,11657980,4024920,-105.25,116.5798,40.2492
19328258,11663760|4029580,11663760,4029580,-100,116.6376,40.2958
19052555,11669900|3988460,11669900,3988460,-97.2,116.699,39.8846
127039635,11648980|3991060,11648980,3991060,-87.75,116.4898,39.9106
126863754,11622720|4019020,11622720,4019020,-96.32,116.2272,40.1902
22505161,11624260|3987420,11624260,3987420,-101.24,116.2426,39.8742
20500739,11700840|4005880,11700840,4005880,-81,117.0084,40.0588
25236682,11658860|4004720,11658860,4004720,-97.46,116.5886,40.0472
227358411,11647880|4001240,11647880,4001240,-96.03,116.4788,40.0124
126918533,11689540|4005920,11689540,4005920,-78.25,116.8954,40.0592
227415243,11649760|3998340,11649760,3998340,-88.63,116.4976,39.9834
20848908,11661720|3987180,11661720,3987180,-93.09,116.6172,39.8718
22428891,11639320|3990640,11639320,3990640,-82.15,116.3932,39.9064
127099524,11662220|4032260,11662220,4032260,-97.95,116.6222,40.3226
22817225,11673200|4032900,11673200,4032900,-88.55,116.732,40.329
19032833,11685420|3980220,11685420,3980220,-94.37,116.8542,39.8022
127089285,11664220|4026660,11664220,4026660,-101.88,116.6422,40.2666
20626185,11666520|3982760,11666520,3982760,-100.69,116.6652,39.8276
4422914,11647680|3955420,11647680,3955420,-105.76,116.4768,39.5542
18639631,11607540|3971660,11607540,3971660,-78.2,116.0754,39.7166
23975631,11656640|3979580,11656640,3979580,-96.57,116.5664,39.7958
23961803,11638480|3974220,11638480,3974220,-98.14,116.3848,39.7422
25220809,11677220|4006340,11677220,4006340,-95.33,116.7722,40.0634
19385859,11663680|4029820,11663680,4029820,-93.22,116.6368,40.2982
127227012,11685480|3972900,11685480,3972900,-94.13,116.8548,39.729
18760705,11648380|3988840,11648380,3988840,-85.3,116.4838,39.8884
19336705,11667400|4036040,11667400,4036040,-97,116.674,40.3604
25215945,11683960|3974580,11683960,3974580,-84.78,116.8396,39.7458
18870284,11639520|3982940,11639520,3982940,-84.83,116.3952,39.8294
20605441,11664680|3979240,11664680,3979240,-73.1,116.6468,39.7924
227280330,11642960|3993200,11642960,3993200,-81.17,116.4296,39.932
24527563,11714260|4012980,11714260,4012980,-82.82,117.1426,40.1298
20963586,11678080|4009600,11678080,4009600,-91.77,116.7808,40.096
19052545,11670440|3988540,11670440,3988540,-97.82,116.7044,39.8854
20942101,11649000|4020400,11649000,4020400,-92.36,116.49,40.204
20881411,11663500|4003080,11663500,4003080,-102.02,116.635,40.0308
23066827,11668140|3988480,11668140,3988480,-102.13,116.6814,39.8848
22229466,11669800|4013440,11669800,4013440,-94.15,116.698,40.1344
129066627,11670500|4005440,11670500,4005440,-95.76,116.705,40.0544
22222281,11694260|4014980,11694260,4014980,-108.65,116.9426,40.1498
25279691,11658220|3999660,11658220,3999660,-91.38,116.5822,39.9966
17950469,11636640|3993200,11636640,3993200,-85.41,116.3664,39.932
22858492,11653360|4024420,11653360,4024420,-90.89,116.5336,40.2442
18870284,11639540|3982520,11639540,3982520,-77.74,116.3954,39.8252
23067083,11674320|3985320,11674320,3985320,-89.28,116.7432,39.8532
4287491,11690420|3978600,11690420,3978600,-94.44,116.9042,39.786
23898313,11665820|4018420,11665820,4018420,-101,116.6582,40.1842
4533505,11650480|4003320,11650480,4003320,-89.75,116.5048,40.0332
19081733,11637420|3997020,11637420,3997020,-92,116.3742,39.9702
228498378,11659980|3992200,11659980,3992200,-96.08,116.5998,39.922
20404744,11633920|3984480,11633920,3984480,-91.21,116.3392,39.8448
228406987,11637600|3975200,11637600,3975200,-85.73,116.376,39.752
24469194,11665780|3965440,11665780,3965440,-88.17,116.6578,39.6544
25197309,11664220|3992780,11664220,3992780,-86.3,116.6422,39.9278
227178955,11650260|3994640,11650260,3994640,-92.29,116.5026,39.9464
20452609,11658340|3988480,11658340,3988480,-95.88,116.5834,39.8848
20592898,11678940|3972480,11678940,3972480,-94.26,116.7894,39.7248
